# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSG00000275305	ENST00000612928	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
A2MP1	ENSG00000256069	ENST00000544183	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
A2MP1	ENSG00000256069	ENST00000545343	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
A2MP1	ENSG00000256069	ENST00000566278	transcribed_unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000406297	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000409068	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000409085	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000268251	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000396600	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000425191	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000562115	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000564453	retained_intron	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000565671	processed_transcript	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0
ABAT	ENSG00000183044	ENST00000566590	nonsense_mediated_decay	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000567812	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000569156	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0
ABC13-47488600E17.1	ENSG00000283199	ENST00000636427	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABC13-47488600E17.1	ENSG00000283199	ENST00000637024	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA1	ENSG00000165029	ENST00000374736	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000269081	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000518929	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000519732	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000522406	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA10	ENSG00000154263	ENST00000523419	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000544596	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000611776	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000265662	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000341511	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000371605	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000398207	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000425423	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000459850	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000464876	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000466707	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000467624	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000470535	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000476211	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000479446	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000487109	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000488535	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ENSG00000107331	ENST00000492260	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000494046	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000614293	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA2	ENSG00000107331	ENST00000625103	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000382381	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000566200	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000569062	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
